university_code,university_name,country,province_state,city,building_number,street,postal_code,website,type,language,established
CSU,Charles Sturt University School of Dentistry,Australia,New South Wales,Orange,,Leeds Parade,2800,https://study.csu.edu.au/courses/bachelor-dental-science,Public,English,1989
OTAGO,University of Otago Faculty of Dentistry,New Zealand,Otago,Dunedin,310,Great King Street,9016,https://www.otago.ac.nz/dentistry,Public,English,1907
SEMMELWEIS,Semmelweis University Faculty of Dentistry,Hungary,Budapest,Budapest,47,Szentkirályi Street,1088,https://semmelweis.hu/english,Public,English,1769
CHARLES,Charles University First Faculty of Medicine,Czech Republic,Prague,Prague,,Ovocný trh 560/5,116 36,https://www.cuni.cz/UKEN-1.html,Public,"English, Czech",1348
DEBRECEN,University of Debrecen Faculty of Dentistry,Hungary,Hajdú-Bihar,Debrecen,98,Nagyerdei körút,4032,https://dent.unideb.hu/en,Public,English,1538
PALACKY,Palacky University Faculty of Medicine and Dentistry,Czech Republic,Olomouc,Olomouc,,Hněvotínská 3,779 00,https://www.upol.cz/en,Public,"English, Czech",1573
KAUNAS,Lithuanian University of Health Sciences,Lithuania,Kaunas,Kaunas,7,Eiveniu Street,50161,https://lsmuni.lt/en,Public,English,1922
RSU,Riga Stradins University Faculty of Dentistry,Latvia,Riga,Riga,16,Dzirciema Street,1007,https://www.rsu.lv/en,Public,English,1950
SAFARIK,Pavol Jozef Safarik University Faculty of Medicine,Slovakia,Košice,Košice,1,Trieda SNP,040 11,https://www.upjs.sk/en,Public,English,1959
POZNAN,Poznan University of Medical Sciences,Poland,Greater Poland,Poznan,70,Bukowska Street,60-812,https://www.ump.edu.pl/en,Public,English,1919
WROCLAW,Wroclaw Medical University Faculty of Dentistry,Poland,Lower Silesia,Wroclaw,211,Borowska Street,50-556,https://www.umed.wroc.pl/en,Public,English,1945
WARSAW,Medical University of Warsaw Faculty of Medicine and Dentistry,Poland,Mazovian,Warsaw,61,Żwirki i Wigury Street,02-091,https://www.wum.edu.pl/en,Public,English,1809
SILESIA,Medical University of Silesia Faculty of Medical Sciences,Poland,Silesian,Katowice,18,Poniatowskiego Street,40-055,https://www.sum.edu.pl/en,Public,English,1948
TITU,Titu Maiorescu University Faculty of Dental Medicine,Romania,Bucharest,Bucharest,67A,Gheorghe Petraşcu Street,031593,https://www.utm.ro/en,Private,English,1990
GRIGORE,Grigore T. Popa University of Medicine and Pharmacy,Romania,Iași,Iași,16,Universității Street,700115,https://www.umfiasi.ro/en,Public,English,1879
SOFIA,Sofia Medical University Faculty of Dental Medicine,Bulgaria,Sofia,Sofia,15,Akademik Ivan Geshov Boulevard,1431,https://www.mu-sofia.bg/en,Public,English,1917
PLOVDIV,Plovdiv Medical University Faculty of Dental Medicine,Bulgaria,Plovdiv,Plovdiv,15A,Vassil Aprilov Boulevard,4002,https://www.mu-plovdiv.bg/en,Public,English,1945
TBILISI,European University Tbilisi Faculty of Medicine,Georgia,Tbilisi,Tbilisi,240,David Aghmashenebeli Alley,0112,https://eutvza.edu.ge/en,Private,"English, Georgian",2012
NEWVISION,New Vision University Faculty of Medicine,Georgia,Tbilisi,Tbilisi,1,Evgeni Mikeladze Street,0159,https://newvision.ge/en,Private,"English, Georgian",2013
AIETI,AIETI Medical University School of Dentistry,Georgia,Tbilisi,Tbilisi,6,Bochoridze Street,0177,https://aieti.edu.ge/en,Private,"English, Georgian",2009
UNIC,University of Nicosia Medical School,Cyprus,Nicosia,Nicosia,46,Makedonitissas Avenue,2417,https://www.unic.ac.cy/medical-school,Private,English,2011
EUCYPRUS,European University Cyprus School of Medicine,Cyprus,Nicosia,Nicosia,6,Diogenes Street,2404,https://euc.ac.cy/en,Private,"English, Greek",2007
UPARMA,University of Parma Department of Medicine and Surgery,Italy,Emilia-Romagna,Parma,14,Via Gramsci,43126,https://www.unipr.it/en,Public,"English, Italian",1117
CATANIA,University of Catania Department of Medical and Surgical Sciences,Italy,Sicily,Catania,87,Via Santa Sofia,95123,https://www.unict.it/en,Public,"English, Italian",1434
SAPIENZA,Sapienza University of Rome Department of Odontostomatological Sciences,Italy,Lazio,Rome,5,Piazzale Aldo Moro,00185,https://www.uniroma1.it/en,Public,"English, Italian",1303
ERASMUS,Erasmus University Rotterdam Erasmus MC,Netherlands,South Holland,Rotterdam,50,Burgemeester Oudlaan,3062 PA,https://www.erasmusmc.nl/en,Public,"English, Dutch",1913
VU,VU University Amsterdam Academic Centre for Dentistry,Netherlands,North Holland,Amsterdam,7,Gustav Mahlerlaan,1081 LA,https://www.vumc.nl/en,Public,"English, Dutch",1880
NIJMEGEN,Radboud University Nijmegen Medical Centre,Netherlands,Gelderland,Nijmegen,101,Geert Grooteplein,6525 GA,https://www.radboudumc.nl/en,Public,"English, Dutch",1923
GRONINGEN,University of Groningen University Medical Center Groningen,Netherlands,Groningen,Groningen,1,Hanzeplein,9713 GZ,https://www.rug.nl/umcg,Public,"English, Dutch",1614
CHARITÉ,Charité - Universitätsmedizin Berlin,Germany,Berlin,Berlin,450,Charitéplatz,10117,https://www.charite.de/en,Public,"English, German",1710
HEIDELBERG,Heidelberg University Hospital Department of Oral Surgery,Germany,Baden-Württemberg,Heidelberg,1,Im Neuenheimer Feld,69120,https://www.klinikum.uni-heidelberg.de/en,Public,"English, German",1386
MADRID,European University Madrid Faculty of Biomedical and Health Sciences,Spain,Madrid,Madrid,28,Calle Tajo,28670,https://universidadeuropea.com/en,Private,"English, Spanish",1995
VALENCIA,European University Valencia Faculty of Health Sciences,Spain,Valencia,Valencia,21,Passeig de l'Albereda,46010,https://universidadeuropea.com/en,Private,"English, Spanish",2008
COMPLUTENSE,Complutense University of Madrid Faculty of Dentistry,Spain,Madrid,Madrid,,Ciudad Universitaria,28040,https://www.ucm.es/english,Public,"English, Spanish",1293
BARCELONA,University of Barcelona Faculty of Medicine and Health Sciences,Spain,Catalonia,Barcelona,143,Casanova Street,08036,https://www.ub.edu/web/ub/en,Public,"English, Spanish",1450
CEU,CEU Cardenal Herrera University Faculty of Health Sciences,Spain,Valencia,Valencia,,Alfara del Patriarca,46113,https://www.uchceu.es/en,Private,"English, Spanish",1971
