university_code,university_name,country,province_state,city,building_number,street,postal_code,website,type,language,established
UNISA,University of South Australia,Australia,SA,Adelaide,1,North Terrace,5000,unisa.edu.au,Public,English,1991
TAS,University of Tasmania,Australia,TAS,Hobart,1,Churchill Ave,7005,utas.edu.au,Public,English,1890
CQU,CQUniversity,Australia,QLD,Rockhampton,1,Yaamba Rd,4702,cqu.edu.au,Public,English,1967
USQ,University of Southern Queensland,Australia,QLD,Toowoomba,1,West St,4350,usq.edu.au,Public,English,1967
JCU,James Cook University,Australia,QLD,Townsville,1,James Cook Dr,4811,jcu.edu.au,Public,English,1970
CDU,Charles Darwin University,Australia,NT,Darwin,21,Kitchener Dr,0909,cdu.edu.au,Public,English,1989
MURDOCH,Murdoch University,Australia,WA,Perth,90,South St,6150,murdoch.edu.au,Public,English,1973
ECU,Edith Cowan University,Australia,WA,Perth,270,Joondalup Dr,6027,ecu.edu.au,Public,English,1991
CANBERRA,University of Canberra,Australia,ACT,Canberra,11,Kirinari St,2617,canberra.edu.au,Public,English,1967
CSU,Charles Sturt University,Australia,NSW,Bathurst,1,Panorama Ave,2795,csu.edu.au,Public,English,1989
SCU,Southern Cross University,Australia,NSW,Lismore,1,Military Rd,2480,scu.edu.au,Public,English,1994
FED,Federation University Australia,Australia,VIC,Ballarat,1,University Dr,3353,federation.edu.au,Public,English,1870
USC,University of the Sunshine Coast,Australia,QLD,Sunshine Coast,90,Sippy Downs Dr,4556,usc.edu.au,Public,English,1996
ACU,Australian Catholic University,Australia,NSW,Sydney,1,Locked Bag,2115,acu.edu.au,Public,English,1991
BOND,Bond University,Australia,QLD,Gold Coast,14,University Dr,4229,bond.edu.au,Private,English,1987
NOTRE_DAME,University of Notre Dame Australia,Australia,WA,Fremantle,19,Mouat St,6160,notredame.edu.au,Private,English,1989
TORRENS,Torrens University Australia,Australia,SA,Adelaide,88,Wakefield St,5000,torrens.edu.au,Private,English,2013
AVONDALE,Avondale University,Australia,NSW,Cooranbong,1,Avondale Dr,2265,avondale.edu.au,Private,English,1897
DIVINITY,University of Divinity,Australia,VIC,Melbourne,1,Royal Pde,3052,divinity.edu.au,Private,English,1910
CHRISTIAN_HERITAGE,Christian Heritage College,Australia,QLD,Brisbane,1,Reedy Creek Rd,4227,chc.edu.au,Private,English,1979
AUT_AUSTRALIA,Australian University of Theology,Australia,NSW,Sydney,1,South Rd,2126,aut.edu.au,Private,English,1891
THINK_EDUCATION,Think Education Group,Australia,NSW,Sydney,1,Ultimo Rd,2007,think.edu.au,Private,English,2006
SAE_CREATIVE,SAE Creative Media Institute,Australia,NSW,Sydney,1,Foveaux St,2010,sae.edu.au,Private,English,1976
KAPLAN_HIGHER_ED,Kaplan Higher Education,Australia,SA,Adelaide,254,North Terrace,5000,kaplan.edu.au,Private,English,1990
MIT_AUSTRALIA,Melbourne Institute of Technology,Australia,VIC,Melbourne,1,William Angliss Institute,3000,mit.edu.au,Private,English,1996
HOLMES,Holmes Institute,Australia,VIC,Melbourne,1,North Melbourne,3051,holmes.edu.au,Private,English,1963
ACADEMY_INFO_TECH,Academy of Information Technology,Australia,NSW,Sydney,1,Foveaux St,2010,ait.edu.au,Private,English,1999
JMC_ACADEMY,JMC Academy,Australia,NSW,Sydney,1,Ultimo Rd,2007,jmcacademy.edu.au,Private,English,1982
COLLARTS,Collarts,Australia,VIC,Melbourne,1,Johnston St,3066,collarts.edu.au,Private,English,1986
ICMS,International College of Management Sydney,Australia,NSW,Sydney,1,Darley Rd,2095,icms.edu.au,Private,English,1996
BLUE_MOUNTAINS,Blue Mountains International Hotel Management School,Australia,NSW,Leura,1,Chambers Rd,2780,bluemountains.edu.au,Private,English,1991
DESIGN_CENTRE_ENMORE,Design Centre Enmore,Australia,NSW,Sydney,1,Enmore Rd,2042,dcenmore.edu.au,Private,English,1980
PHOTOGRAPHY_STUDIES,Photography Studies College,Australia,VIC,Melbourne,1,Bourke St,3000,psc.edu.au,Private,English,1976
MARCUS_OLDHAM,Marcus Oldham College,Australia,VIC,Geelong,1,Pigdons Rd,3220,marcusoldham.vic.edu.au,Private,English,1962
AUSTRALIAN_FILM_SCHOOL,Australian Film Television and Radio School,Australia,NSW,Sydney,1,Balaclava Rd,2113,aftrs.edu.au,Public,English,1973
AUCKLAND,University of Auckland,New Zealand,Auckland,Auckland,1,Symonds St,1010,auckland.ac.nz,Public,English,1883
OTAGO,University of Otago,New Zealand,Otago,Dunedin,1,362 Leith St,9016,otago.ac.nz,Public,English,1869
MASSEY,Massey University,New Zealand,Manawatu-Wanganui,Palmerston North,1,Tennent Dr,4474,massey.ac.nz,Public,English,1927
VICTORIA_NZ,Victoria University of Wellington,New Zealand,Wellington,Wellington,1,Kelburn Pde,6012,wgtn.ac.nz,Public,English,1897
CANTERBURY,University of Canterbury,New Zealand,Canterbury,Christchurch,1,20 Kirkwood Ave,8041,canterbury.ac.nz,Public,English,1873
WAIKATO,University of Waikato,New Zealand,Waikato,Hamilton,1,Knighton Rd,3240,waikato.ac.nz,Public,English,1964
LINCOLN_NZ,Lincoln University,New Zealand,Canterbury,Lincoln,1,Ellesmere Junction Rd,7647,lincoln.ac.nz,Public,English,1878
AUT_NZ,Auckland University of Technology,New Zealand,Auckland,Auckland,1,Wellesley St East,1010,aut.ac.nz,Public,English,2000
