university_code,university_name,country,province_state,city,building_number,street,postal_code,website,type,language,established
UIUC,University of Illinois Urbana-Champaign,USA,IL,Urbana,601,Wright St,61801,illinois.edu,Public,English,1867
GATECH,Georgia Institute of Technology,USA,GA,Atlanta,225,North Ave NW,30332,gatech.edu,Public,English,1885
UTEX,University of Texas at Austin,USA,TX,Austin,110,Inner Campus Dr,78712,utexas.edu,Public,English,1883
UWASH,University of Washington,USA,WA,Seattle,1410,NE Campus Pkwy,98195,washington.edu,Public,English,1861
WISC,University of Wisconsin-Madison,USA,WI,Madison,500,Lincoln Dr,53706,wisc.edu,Public,English,1848
NCST,North Carolina State University,USA,NC,Raleigh,2701,Sullivan Dr,27695,ncsu.edu,Public,English,1887
PENN_ST,Pennsylvania State University,USA,PA,University Park,201,Old Main,16802,psu.edu,Public,English,1855
FLOR,University of Florida,USA,FL,Gainesville,226,Tigert Hall,32611,ufl.edu,Public,English,1853
OHST,Ohio State University,USA,OH,Columbus,230,North Oval Mall,43210,osu.edu,Public,English,1870
PURDUE,Purdue University,USA,IN,West Lafayette,610,Purdue Mall,47907,purdue.edu,Public,English,1869
RUTG,Rutgers University,USA,NJ,New Brunswick,83,Somerset St,08901,rutgers.edu,Public,English,1766
VIRG,University of Virginia,USA,VA,Charlottesville,1827,University Ave,22904,virginia.edu,Public,English,1819
MINN,University of Minnesota,USA,MN,Minneapolis,100,Church St SE,55455,umn.edu,Public,English,1851
INDI,Indiana University,USA,IN,Bloomington,107,South Indiana Ave,47405,indiana.edu,Public,English,1820
IOWA,University of Iowa,USA,IA,Iowa City,1,Old Capitol,52242,uiowa.edu,Public,English,1847
NCAR,University of North Carolina,USA,NC,Chapel Hill,103,South Building,27599,unc.edu,Public,English,1789
OKLA,University of Oklahoma,USA,OK,Norman,660,Parrington Oval,73019,ou.edu,Public,English,1890
OREG,University of Oregon,USA,OR,Eugene,1585,East 13th Ave,97403,uoregon.edu,Public,English,1876
UTAH,University of Utah,USA,UT,Salt Lake City,201,Presidents Cir,84112,utah.edu,Public,English,1850
COLO,University of Colorado Boulder,USA,CO,Boulder,914,Broadway,80309,colorado.edu,Public,English,1876
ARIS,University of Arizona,USA,AZ,Tucson,1401,University Blvd,85721,arizona.edu,Public,English,1885
WASH_ST,Washington State University,USA,WA,Pullman,1500,Stadium Way,99164,wsu.edu,Public,English,1890
OREG_ST,Oregon State University,USA,OR,Corvallis,1500,Jefferson Way,97331,oregonstate.edu,Public,English,1868
MONT,University of Montana,USA,MT,Missoula,32,Campus Dr,59812,umt.edu,Public,English,1893
WYOM,University of Wyoming,USA,WY,Laramie,1000,East University Ave,82071,uwyo.edu,Public,English,1886
NEVI,University of Nevada Las Vegas,USA,NV,Las Vegas,4505,Maryland Pkwy,89154,unlv.edu,Public,English,1957
NEWM,University of New Mexico,USA,NM,Albuquerque,1,University of New Mexico,87131,unm.edu,Public,English,1889
IDAL,University of Idaho,USA,ID,Moscow,875,Perimeter Dr,83844,uidaho.edu,Public,English,1889
HAWA,University of Hawaii at Manoa,USA,HI,Honolulu,2500,Campus Rd,96822,hawaii.edu,Public,English,1907
ALAS,University of Alaska Fairbanks,USA,AK,Fairbanks,1764,Tanana Loop,99775,uaf.edu,Public,English,1917
VERM,University of Vermont,USA,VT,Burlington,85,South Prospect St,05405,uvm.edu,Public,English,1791
MAIN,University of Maine,USA,ME,Orono,168,College Ave,04469,umaine.edu,Public,English,1865
NEHA,University of New Hampshire,USA,NH,Durham,105,Main St,03824,unh.edu,Public,English,1866
RHOD,University of Rhode Island,USA,RI,Kingston,75,Lower College Rd,02881,uri.edu,Public,English,1892
CONN,University of Connecticut,USA,CT,Storrs,352,Mansfield Rd,06269,uconn.edu,Public,English,1881
MASS,University of Massachusetts Amherst,USA,MA,Amherst,181,Presidents Dr,01003,umass.edu,Public,English,1863
DELA,University of Delaware,USA,DE,Newark,104,Hullihen Hall,19716,udel.edu,Public,English,1743
MARY,University of Maryland,USA,MD,College Park,1101,Hornbake Library,20742,umd.edu,Public,English,1856
WEST_VA,West Virginia University,USA,WV,Morgantown,1550,University Ave,26506,wvu.edu,Public,English,1867
KENT,University of Kentucky,USA,KY,Lexington,100,Funkhouser Building,40506,uky.edu,Public,English,1865
TENN,University of Tennessee,USA,TN,Knoxville,1331,Circle Park Dr,37996,utk.edu,Public,English,1794
ALAB,University of Alabama,USA,AL,Tuscaloosa,739,University Blvd,35487,ua.edu,Public,English,1831
MISS,University of Mississippi,USA,MS,Oxford,145,Martindale Student Services Center,38677,olemiss.edu,Public,English,1848
LOUI,Louisiana State University,USA,LA,Baton Rouge,156,Thomas Boyd Hall,70803,lsu.edu,Public,English,1860
ARKAN,University of Arkansas,USA,AR,Fayetteville,1,University of Arkansas,72701,uark.edu,Public,English,1871
KANS,University of Kansas,USA,KS,Lawrence,1450,Jayhawk Blvd,66045,ku.edu,Public,English,1865
NEBR,University of Nebraska-Lincoln,USA,NE,Lincoln,1400,R St,68588,unl.edu,Public,English,1869
IOWA_ST,Iowa State University,USA,IA,Ames,515,Morrill Rd,50011,iastate.edu,Public,English,1858
MISS_ST,Mississippi State University,USA,MS,Mississippi State,75,B.S. Hood Rd,39762,msstate.edu,Public,English,1878
ALAB_BIR,University of Alabama at Birmingham,USA,AL,Birmingham,1720,2nd Ave South,35294,uab.edu,Public,English,1969
SOUTH_CAR,University of South Carolina,USA,SC,Columbia,1600,Hampton St,29208,sc.edu,Public,English,1801
GEOR,University of Georgia,USA,GA,Athens,110,Broad St,30602,uga.edu,Public,English,1785
FLOR_ST,Florida State University,USA,FL,Tallahassee,600,West College Ave,32306,fsu.edu,Public,English,1851
CENT_FLOR,University of Central Florida,USA,FL,Orlando,4000,Central Florida Blvd,32816,ucf.edu,Public,English,1963
MIAM,University of Miami,USA,FL,Coral Gables,1320,Stanford Dr,33146,miami.edu,Private,English,1925
FLOR_INT,Florida International University,USA,FL,Miami,11200,SW 8th St,33199,fiu.edu,Public,English,1965
NOVA,Nova Southeastern University,USA,FL,Davie,3301,College Ave,33314,nova.edu,Private,English,1964
ROLL,Rollins College,USA,FL,Winter Park,1000,Holt Ave,32789,rollins.edu,Private,English,1885
STET,Stetson University,USA,FL,DeLand,421,North Woodland Blvd,32723,stetson.edu,Private,English,1883
CHIC_ST,Chicago State University,USA,IL,Chicago,9501,South King Dr,60628,csu.edu,Public,English,1867
ILLI_CHIC,University of Illinois at Chicago,USA,IL,Chicago,1200,West Harrison St,60607,uic.edu,Public,English,1982
DEPA,DePaul University,USA,IL,Chicago,1,East Jackson Blvd,60604,depaul.edu,Private,English,1898
LOYOLA_CHIC,Loyola University Chicago,USA,IL,Chicago,1032,West Sheridan Rd,60660,luc.edu,Private,English,1870
NORT_ILL,Northern Illinois University,USA,IL,DeKalb,1425,West Lincoln Hwy,60115,niu.edu,Public,English,1895
SOUTHERN_ILL,Southern Illinois University,USA,IL,Carbondale,1263,Lincoln Dr,62901,siu.edu,Public,English,1869
WESTERN_ILL,Western Illinois University,USA,IL,Macomb,1,University Cir,61455,wiu.edu,Public,English,1899
EASTERN_ILL,Eastern Illinois University,USA,IL,Charleston,600,Lincoln Ave,61920,eiu.edu,Public,English,1895
ILLI_ST,Illinois State University,USA,IL,Normal,1,University Cir,61790,illinoisstate.edu,Public,English,1857
BUTLER,Butler University,USA,IN,Indianapolis,4600,Sunset Ave,46208,butler.edu,Private,English,1855
BALL_ST,Ball State University,USA,IN,Muncie,2000,West University Ave,47306,bsu.edu,Public,English,1918
INDI_ST,Indiana State University,USA,IN,Terre Haute,200,North Seventh St,47809,indstate.edu,Public,English,1865
VALPARA,Valparaiso University,USA,IN,Valparaiso,1700,Chapel Dr,46383,valpo.edu,Private,English,1859
EVANSVILLE,University of Evansville,USA,IN,Evansville,1800,Lincoln Ave,47722,evansville.edu,Private,English,1854
KENT_ST,Kent State University,USA,OH,Kent,800,East Summit St,44242,kent.edu,Public,English,1910
OHIO_UNIV,Ohio University,USA,OH,Athens,1,Ohio University Dr,45701,ohio.edu,Public,English,1804
CINC,University of Cincinnati,USA,OH,Cincinnati,2600,Clifton Ave,45221,uc.edu,Public,English,1819
CASE_WEST,Case Western Reserve University,USA,OH,Cleveland,10900,Euclid Ave,44106,case.edu,Private,English,1826
MIAMI_OHIO,Miami University,USA,OH,Oxford,501,East High St,45056,miamioh.edu,Public,English,1809
WRIGHT_ST,Wright State University,USA,OH,Dayton,3640,Colonel Glenn Hwy,45435,wright.edu,Public,English,1967
AKRON,University of Akron,USA,OH,Akron,302,Buchtel Ave,44325,uakron.edu,Public,English,1870
TOLEDO,University of Toledo,USA,OH,Toledo,2801,West Bancroft St,43606,utoledo.edu,Public,English,1872
YOUNG,Youngstown State University,USA,OH,Youngstown,1,University Plaza,44555,ysu.edu,Public,English,1908
MICH_ST,Michigan State University,USA,MI,East Lansing,220,Trowbridge Rd,48824,msu.edu,Public,English,1855
WAYNE_ST,Wayne State University,USA,MI,Detroit,42,West Warren Ave,48202,wayne.edu,Public,English,1868
WESTERN_MICH,Western Michigan University,USA,MI,Kalamazoo,1903,West Michigan Ave,49008,wmich.edu,Public,English,1903
CENTRAL_MICH,Central Michigan University,USA,MI,Mount Pleasant,1200,South Franklin St,48859,cmich.edu,Public,English,1892
EASTERN_MICH,Eastern Michigan University,USA,MI,Ypsilanti,900,Oakwood St,48197,emich.edu,Public,English,1849
MICH_TECH,Michigan Technological University,USA,MI,Houghton,1400,Townsend Dr,49931,mtu.edu,Public,English,1885
GRAND_VALLEY,Grand Valley State University,USA,MI,Allendale,1,Campus Dr,49401,gvsu.edu,Public,English,1960
FERRIS_ST,Ferris State University,USA,MI,Big Rapids,1201,South State St,49307,ferris.edu,Public,English,1884
CALVIN,Calvin University,USA,MI,Grand Rapids,3201,Burton St SE,49546,calvin.edu,Private,English,1876
HOPE,Hope College,USA,MI,Holland,141,East 12th St,49423,hope.edu,Private,English,1866
KALAM,Kalamazoo College,USA,MI,Kalamazoo,1200,Academy St,49006,kzoo.edu,Private,English,1833
ALBION,Albion College,USA,MI,Albion,611,East Porter St,49224,albion.edu,Private,English,1835
ALMA,Alma College,USA,MI,Alma,614,West Superior St,48801,alma.edu,Private,English,1886
ADRIAN,Adrian College,USA,MI,Adrian,110,South Madison St,49221,adrian.edu,Private,English,1859
HILLSDALE,Hillsdale College,USA,MI,Hillsdale,33,East College St,49242,hillsdale.edu,Private,English,1844
MINN_ST,Minnesota State University Mankato,USA,MN,Mankato,228,Wiecking Center,56001,mnsu.edu,Public,English,1868
ST_CLOUD,St. Cloud State University,USA,MN,St. Cloud,720,Fourth Ave South,56301,stcloudstate.edu,Public,English,1869
WINONA_ST,Winona State University,USA,MN,Winona,175,West Mark St,55987,winona.edu,Public,English,1858
BEMIDJI_ST,Bemidji State University,USA,MN,Bemidji,1500,Birchmont Dr NE,56601,bemidjistate.edu,Public,English,1919
MOORHEAD_ST,Minnesota State University Moorhead,USA,MN,Moorhead,1104,7th Ave South,56563,mnstate.edu,Public,English,1885
MACALESTER,Macalester College,USA,MN,St. Paul,1600,Grand Ave,55105,macalester.edu,Private,English,1874
CARLETON,Carleton College,USA,MN,Northfield,1,North College St,55057,carleton.edu,Private,English,1866
ST_OLAF,St. Olaf College,USA,MN,Northfield,1520,St. Olaf Ave,55057,stolaf.edu,Private,English,1874
GUSTAVUS,Gustavus Adolphus College,USA,MN,St. Peter,800,West College Ave,56082,gustavus.edu,Private,English,1862
HAMLINE,Hamline University,USA,MN,St. Paul,1536,Hewitt Ave,55104,hamline.edu,Private,English,1854
AUGSBURG,Augsburg University,USA,MN,Minneapolis,2211,Riverside Ave,55454,augsburg.edu,Private,English,1869
CONCORD,Concordia College,USA,MN,Moorhead,901,8th St South,56562,concordiacollege.edu,Private,English,1891
ST_JOHNS,Saint John's University,USA,MN,Collegeville,2850,Abbey Plaza,56321,csbsju.edu,Private,English,1857
ST_KATH,College of Saint Catherine,USA,MN,St. Paul,2004,Randolph Ave,55105,stkate.edu,Private,English,1905
BETHEL_MN,Bethel University,USA,MN,St. Paul,3900,Bethel Dr,55112,bethel.edu,Private,English,1871
NYU,New York University,USA,NY,New York,4,Washington Square North,10003,nyu.edu,Private,English,1831
FORD,Fordham University,USA,NY,Bronx,441,East Fordham Rd,10458,fordham.edu,Private,English,1841
SYRA,Syracuse University,USA,NY,Syracuse,900,South Crouse Ave,13244,syracuse.edu,Private,English,1870
ROCH,University of Rochester,USA,NY,Rochester,500,Joseph C. Wilson Blvd,14627,rochester.edu,Private,English,1850
SUNY_BUFF,University at Buffalo,USA,NY,Buffalo,12,Capen Hall,14260,buffalo.edu,Public,English,1846
SUNY_ALBANY,University at Albany,USA,NY,Albany,1400,Washington Ave,12222,albany.edu,Public,English,1844
SUNY_BING,Binghamton University,USA,NY,Binghamton,4400,Vestal Pkwy East,13902,binghamton.edu,Public,English,1946
SUNY_STORY,Stony Brook University,USA,NY,Stony Brook,100,Nicolls Rd,11794,stonybrook.edu,Public,English,1957
BARNA,Barnard College,USA,NY,New York,3009,Broadway,10027,barnard.edu,Private,English,1889
VASS,Vassar College,USA,NY,Poughkeepsie,124,Raymond Ave,12604,vassar.edu,Private,English,1861
COLGATE,Colgate University,USA,NY,Hamilton,13,Oak Dr,13346,colgate.edu,Private,English,1819
HAMIL,Hamilton College,USA,NY,Clinton,198,College Hill Rd,13323,hamilton.edu,Private,English,1793
UNION,Union College,USA,NY,Schenectady,807,Union St,12308,union.edu,Private,English,1795
ROCHES_INST,Rochester Institute of Technology,USA,NY,Rochester,1,Lomb Memorial Dr,14623,rit.edu,Private,English,1829
CLARKSON,Clarkson University,USA,NY,Potsdam,8,Clarkson Ave,13699,clarkson.edu,Private,English,1896
ST_LAWRENCE,St. Lawrence University,USA,NY,Canton,23,Romoda Dr,13617,stlawu.edu,Private,English,1856
HOBART,Hobart and William Smith Colleges,USA,NY,Geneva,300,Pulteney St,14456,hws.edu,Private,English,1822
SKIDMORE,Skidmore College,USA,NY,Saratoga Springs,815,North Broadway,12866,skidmore.edu,Private,English,1903
WELLS,Wells College,USA,NY,Aurora,170,Main St,13026,wells.edu,Private,English,1868
ELMIRA,Elmira College,USA,NY,Elmira,1,Park Pl,14901,elmira.edu,Private,English,1855
ITHACA,Ithaca College,USA,NY,Ithaca,953,Danby Rd,14850,ithaca.edu,Private,English,1892
PENNS,Pennsylvania State University,USA,PA,University Park,201,Old Main,16802,psu.edu,Public,English,1855
PITT,University of Pittsburgh,USA,PA,Pittsburgh,4200,Fifth Ave,15260,pitt.edu,Public,English,1787
TEMPLE,Temple University,USA,PA,Philadelphia,1801,North Broad St,19122,temple.edu,Public,English,1884
DREXEL,Drexel University,USA,PA,Philadelphia,3141,Chestnut St,19104,drexel.edu,Private,English,1891
VILLA,Villanova University,USA,PA,Villanova,800,Lancaster Ave,19085,villanova.edu,Private,English,1842
LEHIGH,Lehigh University,USA,PA,Bethlehem,27,Memorial Dr West,18015,lehigh.edu,Private,English,1865
LAFAY,Lafayette College,USA,PA,Easton,730,High St,18042,lafayette.edu,Private,English,1826
BUCKNELL,Bucknell University,USA,PA,Lewisburg,1,Dent Dr,17837,bucknell.edu,Private,English,1846
DICK,Dickinson College,USA,PA,Carlisle,28,North College St,17013,dickinson.edu,Private,English,1773
FRANK_MARSH,Franklin & Marshall College,USA,PA,Lancaster,415,Harrisburg Ave,17603,fandm.edu,Private,English,1787
GETTYS,Gettysburg College,USA,PA,Gettysburg,300,North Washington St,17325,gettysburg.edu,Private,English,1832
HAVER,Haverford College,USA,PA,Haverford,370,Lancaster Ave,19041,haverford.edu,Private,English,1833
SWARTH,Swarthmore College,USA,PA,Swarthmore,500,College Ave,19081,swarthmore.edu,Private,English,1864
BRYN_MAWR,Bryn Mawr College,USA,PA,Bryn Mawr,101,North Merion Ave,19010,brynmawr.edu,Private,English,1885
URSINUS,Ursinus College,USA,PA,Collegeville,601,East Main St,19426,ursinus.edu,Private,English,1869
MUHLENBERG,Muhlenberg College,USA,PA,Allentown,2400,Chew St,18104,muhlenberg.edu,Private,English,1848
SUSQUEHANNA,Susquehanna University,USA,PA,Selinsgrove,514,University Ave,17870,susqu.edu,Private,English,1858
JUNIATA,Juniata College,USA,PA,Huntingdon,1700,Moore St,16652,juniata.edu,Private,English,1876
ALLEGHENY,Allegheny College,USA,PA,Meadville,520,North Main St,16335,allegheny.edu,Private,English,1815
WASHING_JEFF,Washington & Jefferson College,USA,PA,Washington,60,South Lincoln St,15301,washjeff.edu,Private,English,1781
GROVE_CITY,Grove City College,USA,PA,Grove City,100,Campus Dr,16127,gcc.edu,Private,English,1876
DUQUESNE,Duquesne University,USA,PA,Pittsburgh,600,Forbes Ave,15282,duq.edu,Private,English,1878
ST_JOSEPHS,Saint Joseph's University,USA,PA,Philadelphia,5600,City Ave,19131,sju.edu,Private,English,1851
LA_SALLE,La Salle University,USA,PA,Philadelphia,1900,West Olney Ave,19141,lasalle.edu,Private,English,1863
CABRINI,Cabrini University,USA,PA,Radnor,610,King of Prussia Rd,19087,cabrini.edu,Private,English,1957
CHESTNUT_HILL,Chestnut Hill College,USA,PA,Philadelphia,9601,Germantown Ave,19118,chc.edu,Private,English,1924
HOLY_FAMILY,Holy Family University,USA,PA,Philadelphia,9801,Frankford Ave,19114,holyfamily.edu,Private,English,1954
IMMAC,Immaculata University,USA,PA,Immaculata,1145,King Rd,19345,immaculata.edu,Private,English,1920
MARYWOOD,Marywood University,USA,PA,Scranton,2300,Adams Ave,18509,marywood.edu,Private,English,1915
MISERIC,Misericordia University,USA,PA,Dallas,301,Lake St,18612,misericordia.edu,Private,English,1924
POINT_PARK,Point Park University,USA,PA,Pittsburgh,201,Wood St,15222,pointpark.edu,Private,English,1960
ROBERT_MORRIS,Robert Morris University,USA,PA,Moon Township,6001,University Blvd,15108,rmu.edu,Private,English,1921
ROSEMONT,Rosemont College,USA,PA,Rosemont,1400,Montgomery Ave,19010,rosemont.edu,Private,English,1921
ST_FRANCIS,Saint Francis University,USA,PA,Loretto,117,Evergreen Dr,15940,francis.edu,Private,English,1847
ST_VINCENT,Saint Vincent College,USA,PA,Latrobe,300,Fraser Purchase Rd,15650,stvincent.edu,Private,English,1846
SETON_HILL,Seton Hill University,USA,PA,Greensburg,1,Seton Hill Dr,15601,setonhill.edu,Private,English,1883
THIEL,Thiel College,USA,PA,Greenville,75,College Ave,16125,thiel.edu,Private,English,1866
UNIV_SCRANTON,University of Scranton,USA,PA,Scranton,800,Linden St,18510,scranton.edu,Private,English,1888
WAYNESBURG,Waynesburg University,USA,PA,Waynesburg,51,West College St,15370,waynesburg.edu,Private,English,1849
WESTMIN,Westminster College,USA,PA,New Wilmington,319,South Market St,16172,westminster.edu,Private,English,1852
WIDENER,Widener University,USA,PA,Chester,1,University Pl,19013,widener.edu,Private,English,1821
WILKES,Wilkes University,USA,PA,Wilkes-Barre,84,West South St,18766,wilkes.edu,Private,English,1933
YORK,York College of Pennsylvania,USA,PA,York,441,Country Club Rd,17403,ycp.edu,Private,English,1787
BROWN,Brown University,USA,RI,Providence,1,Prospect St,02912,brown.edu,Private,English,1764
DART,Dartmouth College,USA,NH,Hanover,1,Dartmouth College,03755,dartmouth.edu,Private,English,1769
MIDD,Middlebury College,USA,VT,Middlebury,14,Old Chapel Rd,05753,middlebury.edu,Private,English,1800
BATES,Bates College,USA,ME,Lewiston,2,Andrews Rd,04240,bates.edu,Private,English,1855
BOWDOIN,Bowdoin College,USA,ME,Brunswick,255,Maine St,04011,bowdoin.edu,Private,English,1794
COLBY,Colby College,USA,ME,Waterville,4000,Mayflower Hill,04901,colby.edu,Private,English,1813
WILLIAMS,Williams College,USA,MA,Williamstown,880,Main St,01267,williams.edu,Private,English,1793
AMHERST,Amherst College,USA,MA,Amherst,220,South Pleasant St,01002,amherst.edu,Private,English,1821
WELLESLEY,Wellesley College,USA,MA,Wellesley,106,Central St,02481,wellesley.edu,Private,English,1870
SMITH,Smith College,USA,MA,Northampton,1,Chapin Way,01063,smith.edu,Private,English,1871
MOUNT_HOLY,Mount Holyoke College,USA,MA,South Hadley,50,College St,01075,mtholyoke.edu,Private,English,1837
BRANDEIS,Brandeis University,USA,MA,Waltham,415,South St,02453,brandeis.edu,Private,English,1948
TUFTS,Tufts University,USA,MA,Medford,419,Boston Ave,02155,tufts.edu,Private,English,1852
BOSTON_UNIV,Boston University,USA,MA,Boston,1,Silber Way,02215,bu.edu,Private,English,1839
BOSTON_COLL,Boston College,USA,MA,Chestnut Hill,140,Commonwealth Ave,02467,bc.edu,Private,English,1863
NORTHEASTERN,Northeastern University,USA,MA,Boston,360,Huntington Ave,02115,northeastern.edu,Private,English,1898
EMERSON,Emerson College,USA,MA,Boston,120,Boylston St,02116,emerson.edu,Private,English,1880
SUFFOLK,Suffolk University,USA,MA,Boston,8,Ashburton Pl,02108,suffolk.edu,Private,English,1906
SIMMONS,Simmons University,USA,MA,Boston,300,The Fenway,02115,simmons.edu,Private,English,1899
BABSON,Babson College,USA,MA,Wellesley,231,Forest St,02457,babson.edu,Private,English,1919
BENTLEY,Bentley University,USA,MA,Waltham,175,Forest St,02452,bentley.edu,Private,English,1917
CLARK,Clark University,USA,MA,Worcester,950,Main St,01610,clarku.edu,Private,English,1887
WPI,Worcester Polytechnic Institute,USA,MA,Worcester,100,Institute Rd,01609,wpi.edu,Private,English,1865
HOLY_CROSS,College of the Holy Cross,USA,MA,Worcester,1,College St,01610,holycross.edu,Private,English,1843
ASSUMPTION,Assumption University,USA,MA,Worcester,500,Salisbury St,01609,assumption.edu,Private,English,1904
WESTERN_NEW_ENG,Western New England University,USA,MA,Springfield,1215,Wilbraham Rd,01119,wne.edu,Private,English,1919
SPRINGFIELD,Springfield College,USA,MA,Springfield,263,Alden St,01109,springfield.edu,Private,English,1885
AMERICAN_INT,American International College,USA,MA,Springfield,1000,State St,01109,aic.edu,Private,English,1885
ELMS,Elms College,USA,MA,Chicopee,291,Springfield St,01013,elms.edu,Private,English,1928
BAY_PATH,Bay Path University,USA,MA,Longmeadow,588,Longmeadow St,01106,baypath.edu,Private,English,1897
STONEHILL,Stonehill College,USA,MA,Easton,320,Washington St,02357,stonehill.edu,Private,English,1948
BRIDGEWATER,Bridgewater State University,USA,MA,Bridgewater,131,Summer St,02325,bridgew.edu,Public,English,1840
FITCHBURG,Fitchburg State University,USA,MA,Fitchburg,160,Pearl St,01420,fitchburgstate.edu,Public,English,1894
FRAMINGHAM,Framingham State University,USA,MA,Framingham,100,State St,01701,framingham.edu,Public,English,1839
SALEM_ST,Salem State University,USA,MA,Salem,352,Lafayette St,01970,salemstate.edu,Public,English,1854
WESTFIELD,Westfield State University,USA,MA,Westfield,577,Western Ave,01086,westfield.ma.edu,Public,English,1838
WORCESTER_ST,Worcester State University,USA,MA,Worcester,486,Chandler St,01602,worcester.edu,Public,English,1874
MASS_COLL_ART,Massachusetts College of Art and Design,USA,MA,Boston,621,Huntington Ave,02115,massart.edu,Public,English,1873
MASS_MARITIME,Massachusetts Maritime Academy,USA,MA,Buzzards Bay,101,Academy Dr,02532,maritime.edu,Public,English,1891
BERKLEE,Berklee College of Music,USA,MA,Boston,1140,Boylston St,02215,berklee.edu,Private,English,1945
NEW_ENG_CONSERV,New England Conservatory,USA,MA,Boston,290,Huntington Ave,02115,necmusic.edu,Private,English,1867
LESLEY,Lesley University,USA,MA,Cambridge,29,Everett St,02138,lesley.edu,Private,English,1909
REGIS,Regis College,USA,MA,Weston,235,Wellesley St,02493,regiscollege.edu,Private,English,1927
PINE_MANOR,Pine Manor College,USA,MA,Chestnut Hill,400,Heath St,02467,pmc.edu,Private,English,1911
CURRY,Curry College,USA,MA,Milton,1071,Blue Hill Ave,02186,curry.edu,Private,English,1879
DEAN,Dean College,USA,MA,Franklin,99,Main St,02038,dean.edu,Private,English,1865
NICHOLS,Nichols College,USA,MA,Dudley,124,Center Rd,01571,nichols.edu,Private,English,1815
ANNA_MARIA,Anna Maria College,USA,MA,Paxton,50,Sunset Ln,01612,annamaria.edu,Private,English,1946
ATLANTIC_UNION,Atlantic Union College,USA,MA,South Lancaster,338,Main St,01561,auc.edu,Private,English,1882
GORDON,Gordon College,USA,MA,Wenham,255,Grapevine Rd,01984,gordon.edu,Private,English,1889
EASTERN_NAZARENE,Eastern Nazarene College,USA,MA,Quincy,23,East Elm Ave,02170,enc.edu,Private,English,1900
FISHER,Fisher College,USA,MA,Boston,118,Beacon St,02116,fisher.edu,Private,English,1903
HEBREW,Hebrew College,USA,MA,Newton Centre,160,Herrick Rd,02459,hebrewcollege.edu,Private,English,1921
LASELL,Lasell University,USA,MA,Newton,1844,Commonwealth Ave,02466,lasell.edu,Private,English,1851
MERRIMACK,Merrimack College,USA,MA,North Andover,315,Turnpike St,01845,merrimack.edu,Private,English,1947
MOUNT_IDA,Mount Ida College,USA,MA,Newton,777,Dedham St,02459,mountida.edu,Private,English,1899
NEWBURY,Newbury College,USA,MA,Brookline,129,Fisher Ave,02445,newbury.edu,Private,English,1962
ST_ANSELM,Saint Anselm College,USA,NH,Manchester,100,Saint Anselm Dr,03102,anselm.edu,Private,English,1889
KEENE_ST,Keene State College,USA,NH,Keene,229,Main St,03435,keene.edu,Public,English,1909
PLYMOUTH_ST,Plymouth State University,USA,NH,Plymouth,17,High St,03264,plymouth.edu,Public,English,1871
